epoch,train_loss_all,val_loss_all,train_acc_all,val_acc_all
0,2.0652722239494326,2.014263277053833,0.2103125,0.2775
1,1.9609489130973816,1.9072165155410767,0.31046875,0.358125
2,1.8590854859352113,1.8034600591659546,0.3915625,0.415
3,1.7647245049476623,1.7153412675857544,0.4309375,0.438125
4,1.6823898887634277,1.6357057523727416,0.45671875,0.450625
5,1.6079875469207763,1.577069935798645,0.47953125,0.471875
6,1.547241861820221,1.518045597076416,0.49125,0.48875
7,1.496904730796814,1.4690416765213012,0.51171875,0.498125
8,1.4552178645133973,1.43602379322052,0.52640625,0.515
9,1.417114152908325,1.4092766427993775,0.53796875,0.521875
10,1.3860678887367248,1.3699814558029175,0.549375,0.549375
11,1.3547224140167236,1.342123703956604,0.5709375,0.57875
12,1.3289992475509644,1.3089134359359742,0.58515625,0.586875
13,1.3046746611595155,1.2923628330230712,0.59859375,0.591875
14,1.2820087599754333,1.2680752277374268,0.6109375,0.6075
15,1.2628240513801574,1.2496699047088624,0.62546875,0.609375
16,1.2422513723373414,1.2263475131988526,0.63265625,0.623125
17,1.2199895119667052,1.2148611640930176,0.65078125,0.638125
18,1.1983991956710816,1.186639895439148,0.66890625,0.644375
19,1.178745093345642,1.1640619730949402,0.67484375,0.65875
20,1.1578435826301574,1.1418523049354554,0.68359375,0.680625
21,1.1361122417449951,1.1221611452102662,0.7046875,0.671875
22,1.1165165638923644,1.0974936866760254,0.70734375,0.6875
23,1.0923654854297637,1.0743408155441285,0.72109375,0.690625
24,1.0744563221931458,1.0479969382286072,0.71875,0.6975
25,1.0529312646389009,1.0349637699127197,0.73,0.69625
26,1.0338122367858886,1.01907728433609,0.7271875,0.7
27,1.0133663034439087,1.00447833776474,0.73890625,0.705
28,0.9939974796772003,0.987613537311554,0.74234375,0.7725
29,0.9817689990997315,0.9638207626342773,0.74453125,0.73375
30,0.963982914686203,0.9514640760421753,0.74609375,0.735
31,0.9488094675540925,0.9373929476737977,0.75453125,0.72875
32,0.9317965030670166,0.9219335794448853,0.75765625,0.751875
33,0.9190335369110108,0.912395920753479,0.76796875,0.75375
34,0.9028698587417603,0.8912430143356324,0.77078125,0.76625
35,0.8894423270225524,0.8868318510055542,0.77765625,0.7625
36,0.8750900495052337,0.8611610627174378,0.7890625,0.808125
37,0.8646481668949128,0.8536571288108825,0.793125,0.813125
38,0.8544438302516937,0.8363625288009644,0.79984375,0.831875
39,0.8388394510746002,0.8149523901939392,0.80546875,0.8475
40,0.8241423761844635,0.8079466533660888,0.82,0.81125
41,0.8099638903141022,0.793235719203949,0.825,0.841875
42,0.7985611438751221,0.7850305700302124,0.82609375,0.840625
43,0.7864356160163879,0.7709584927558899,0.8403125,0.830625
44,0.773276971578598,0.7610407662391663,0.84640625,0.8425
45,0.7565537488460541,0.7453617882728577,0.85359375,0.89875
46,0.7480972862243652,0.7936009240150451,0.86140625,0.773125
47,0.7322898054122925,0.7313704323768616,0.86421875,0.84
48,0.7189338684082032,0.7147809624671936,0.8725,0.888125
49,0.7108374333381653,0.6989712953567505,0.8746875,0.9
50,0.7014260816574097,0.6866876244544983,0.875625,0.90875
